d1,d2,type,Neg samples
DB00006,DB00465,5,DB00518$h
DB00006,DB00963,5,DB04835$h
DB00006,DB01240,5,DB01206$t
DB00006,DB03619,48,DB01435$h
DB00006,DB06206,5,DB01351$h
DB00006,DB06441,5,DB11613$t
DB00006,DB09075,5,DB06410$h
DB00006,DB09079,48,DB00152$h
DB00006,DB11362,5,DB11315$t
DB00014,DB00915,19,DB01604$t
DB00014,DB01072,19,DB09499$t
DB00014,DB06203,69,DB00248$t
DB00014,DB06335,69,DB00735$t
DB00014,DB08864,19,DB08916$t
DB00014,DB08868,19,DB00204$h
DB00014,DB09083,19,DB04398$h
DB00091,DB00465,56,DB00483$h
DB00091,DB00497,48,DB01164$t
DB00091,DB00694,56,DB00341$t
DB00091,DB00963,56,DB01253$t
DB00091,DB01072,72,DB00142$h
DB00091,DB04908,48,DB06401$h
DB00091,DB06203,72,DB00364$h
DB00091,DB06335,72,DB00639$h
DB00091,DB08822,67,DB01466$h
DB00091,DB08868,33,DB00344$t
DB00091,DB08895,33,DB00880$t
DB00091,DB08916,74,DB01351$h
DB00091,DB09073,72,DB09268$t
DB00091,DB09118,72,DB00268$t
DB00091,DB09292,67,DB00645$h
DB00091,DB09296,72,DB01102$t
DB00091,DB09297,72,DB09555$t
DB00091,DB09330,72,DB00182$h
DB00091,DB09570,72,DB06825$h
DB00104,DB06203,69,DB00199$t
DB00104,DB06335,69,DB00768$h
DB00104,DB08868,53,DB03756$h
DB00104,DB09083,53,DB05316$t
DB00120,DB08868,33,DB01019$t
DB00120,DB08895,33,DB00689$h
DB00126,DB00182,74,DB01411$t
DB00126,DB01576,74,DB09323$h
DB00136,DB01072,46,DB09026$t
DB00136,DB04855,46,DB06724$t
DB00136,DB06335,74,DB00842$t
DB00136,DB06636,46,DB01240$t
DB00136,DB08864,74,DB00798$h
DB00136,DB09073,72,DB00485$t
DB00136,DB09118,72,DB00776$h
DB00136,DB09330,72,DB09061$h
DB00136,DB12332,46,DB09026$t
DB00142,DB00182,74,DB05219$t
DB00142,DB01576,74,DB04846$h
DB00150,DB00182,48,DB01615$t
DB00152,DB08930,74,DB08800$h
DB00153,DB01072,46,DB08827$t
DB00153,DB04855,46,DB01144$t
DB00153,DB06636,46,DB00568$t
DB00153,DB09073,72,DB00543$t
DB00153,DB09118,72,DB00795$t
DB00153,DB09330,72,DB00508$h
DB00153,DB12332,46,DB01184$t
DB00158,DB01174,74,DB00626$h
DB00158,DB06210,72,DB00938$h
DB00158,DB09291,72,DB00945$t
DB00165,DB01174,3,DB07615$h
DB00166,DB11126,66,DB00688$h
DB00169,DB01072,46,DB01602$h
DB00169,DB04855,46,DB01216$t
DB00169,DB06636,46,DB13783$h
DB00169,DB09073,72,DB00932$t
DB00169,DB09118,72,DB00136$t
DB00169,DB09330,72,DB06825$t
DB00170,DB06595,46,DB01032$h
DB00170,DB09274,10,DB00343$t
DB00170,DB12332,46,DB00765$t
DB00175,DB00683,72,DB02701$t
DB00175,DB00694,72,DB00469$h
DB00175,DB00907,72,DB01251$h
DB00175,DB01072,46,DB00801$h
DB00175,DB04855,46,DB09128$t
DB00175,DB05219,46,DB00813$t
DB00175,DB06210,72,DB09269$h
DB00175,DB06595,46,DB13872$t
DB00175,DB06636,46,DB00641$t
DB00175,DB09073,72,DB09069$t
DB00175,DB09102,72,DB03585$h
DB00175,DB09118,72,DB11121$h
DB00175,DB09291,72,DB00678$h
DB00175,DB09330,72,DB09414$h
DB00175,DB11574,72,DB00955$h
DB00175,DB12332,46,DB08957$t
DB00175,DB13874,72,DB09072$t
DB00176,DB00497,48,DB11342$t
DB00176,DB00645,48,DB00253$t
DB00176,DB00907,46,DB09040$t
DB00176,DB01017,15,DB08976$h
DB00176,DB06204,15,DB00300$h
DB00176,DB06288,48,DB00889$t
DB00176,DB06595,46,DB06684$t
DB00176,DB06603,72,DB01621$t
DB00176,DB06704,69,DB09153$h
DB00176,DB09118,46,DB01622$h
DB00177,DB00465,48,DB00357$t
DB00177,DB00963,48,DB01059$t
DB00177,DB02638,59,DB00354$t
DB00177,DB04948,59,DB01394$t
DB00177,DB05219,46,DB00802$t
DB00177,DB06210,72,DB00361$h
DB00177,DB06595,46,DB00553$t
DB00177,DB08822,48,DB09396$t
DB00177,DB11362,59,DB00305$h
